Gemeinden,Anzahl_Fahrzeuge,Postleitzahl,Laengengrad,Breitengrad,Distanz_in_km
ALTENBEKEN,96,33184,8.944689,51.760981,316.16
ALTENBERG,82,01773,13.757339,50.766357,196.73
ALTENBERGA,1,07768,11.540544,50.830629,227.87
ALTENBUCH,8,97901,9.401534,49.827992,409.6
ALTENBURG,235,04600,12.437252,50.987195,183.2
ALTENDIEZ,7,65624,7.98331,50.370944,445.61
ALTENDORF,3,92540,12.28001,49.404846,355.62
ALTENDORF1,10,96146,11.010627,49.797254,346.09
ALTENFELD,2,98701,10.960638,50.564833,275.66
ALTENGLAN,18,66885,7.463616,49.552743,530.82
ALTENHAUSEN,5,39343,11.253666,52.261877,148.94
ALTENKUNSTADT,66,96264,11.247931,50.125678,305.84
ALTENMARKT A.D.ALZ,35,83352,12.534451,48.000706,506.88
ALTENMEDINGEN,12,29575,10.602557,53.131093,200.38
ALTENMUENSTER,42,86450,10.590476,48.464837,493.37
ALTENPLEEN,2,18445,12.956614,54.354376,206.35
ALTENRIET,14,72657,9.221764,48.591482,527.8
ALTENSTADT,120,63674,8.945024,50.285831,397.09
ALTENSTADT1,104,86972,10.872239,47.82328,553.05
ALTENTHANN,7,93177,12.304003,49.092439,389.32
ALTENTREPTOW,37,17087,13.252613,53.693838,131.07
ALTERTHEIM,11,97237,9.763603,49.727574,401.59
ALTFRAUNHOFEN,14,84169,12.171848,48.449443,461.45
ALTHEGNENBERG,6,82278,11.064455,48.233116,505.24
ALTHEIM,14,88499,9.448855,48.145555,562.08
ALTHEIM (ALB),19,89174,10.025037,48.581738,499.22
ALTHEIM1,14,89605,9.770679,48.327677,532.97
ALTKALEN,1,17179,12.740792,53.899928,159.86
ALTKIRCHEN,6,04626,12.345566,50.934584,191
ALTLANDSBERG,96,15345,13.728164,52.566902,22.5
ALTLEININGEN,16,67317,8.074275,49.508098,501.55
ALTLUSSHEIM,82,68804,8.498339,49.301347,496.76
ALTMITTWEIDA,16,09648,12.956935,50.967479,175.56
ALTRICH,11,54518,6.910954,49.956432,534.75
ALTRIP,84,67122,8.494911,49.431382,486.27
ALTSHAUSEN,31,88361,9.538271,47.93449,579.8
AM MELLENSEE,78,15838,13.405535,52.156432,40.47
AMBERG,11,86854,10.680117,48.06172,532.69
AMBERG1,5,92224,11.855879,49.442448,359.36
AMELINGHAUSEN,28,21385,10.21774,53.130343,224.87
AMERANG,26,83123,12.308485,47.990939,510.16
AMERDINGEN,3,86735,10.486326,48.725457,469.92
AMMERBUCH,85,72119,8.965949,48.553816,541.6
AMMERTHAL,11,92260,11.759473,49.439533,361.76
AMPFING,82,84539,12.418033,48.25513,479.89
AMSTETTEN,29,73340,9.875601,48.577625,504.76
AMT NEUHAUS,50,19273,10.928994,53.285751,186.81
AMTZELL,46,88279,9.747974,47.70628,595.88
ANDECHS,27,82346,11.184792,47.966991,530.84
ANDERLINGEN,5,27446,9.302152,53.372365,291.05
ANDERVENNE,5,49832,7.570871,52.508973,395.12
ANGELBACHTAL,47,74918,8.773413,49.233855,489.35
ANGELBURG,31,35719,8.449582,50.824158,390.61
ANGER,34,83454,12.859411,47.802378,526.6
ANGERN,12,39326,11.734487,52.358478,114.77
ANHAUSEN,12,56584,7.55307,50.499676,463.44
ANKERSHAGEN,1,17219,12.95775,53.484206,111.44
ANKUM,72,49577,7.871286,52.541026,374.66
ANNABURG,53,06925,13.046683,51.731338,91.14
ANROECHTE,109,59609,8.327462,51.561271,363.59
ANSBACH,373,91522,10.57193,49.302592,409.58
ANTDORF,7,82387,11.308407,47.749411,551.67
ANTRIFTTAL,9,36326,9.184625,50.795858,348.88
APELERN,13,31552,9.336445,52.289576,277.46
APEN,86,26689,7.80595,53.218179,384.07
APENSEN,32,21641,9.613698,53.433183,273.66
APFELDORF,10,86974,10.92837,47.895579,544.1
APFELTRACH,2,87742,10.494802,48.020061,541.93
APPENHEIM,13,55437,8.033495,49.929855,472.41
APPENWEIER,100,77767,7.978133,48.537224,586.22
ARENSHAUSEN,4,37318,9.969598,51.377339,267.8
ARESING,24,86561,11.297536,48.531075,468.37
ARGENBUEHL,70,88260,9.959372,47.688159,591.3
ARGENTHAL,10,55496,7.596954,49.975997,493.71
ARMSHEIM,12,55288,8.056736,49.808643000000004,479.87
ARNBRUCK,7,93471,12.998206,49.129071,378.56
ARNEBURG,6,39596,12.002138,52.675249,96.41
ARNSCHWANG,7,93473,12.815584,49.273377,363.77
ARNSDORF,34,01477,13.992798,51.097715,163.42
ARNSTADT,174,99310,10.946529,50.8333,253.06
ARRACH,12,93474,13.002538,49.193549,371.38
ARZBACH,13,56337,7.747792,50.379222,458.96
ARZFELD,12,54687,6.273505,50.088456,564.97
ASBACH,85,53567,7.423951,50.66519,462.1
ASBACH BAEUMENHEIM,38,86663,10.818019,48.682934,464.53
ASBACH1,89,55758,7.279572,49.812309,522.86
ASCHA,9,94347,12.637381,48.997577,395.82
ASCHAFFENBURG,527,63739,9.147832,49.973506,410.18
ASCHAU A.INN,16,84544,12.348732,48.197933,486.93
ASCHAU I.CHIEMGAU,40,83229,12.324478,47.777656,533.5
ASCHERSLEBEN,182,06449,11.455041,51.756034,158.05
ASCHHEIM,73,85609,11.71681,48.171014,498.72
ASENDORF,19,21271,9.979301,53.289989,245.42
ASENDORF1,6,27330,9.006295,52.769261,298.35
ASPISHEIM,10,55459,7.980973,49.906281,476.98
ASSAMSTADT,5,97959,9.686743,49.427324,431.68
ASSELFINGEN,10,89176,10.1914,48.529714,498.91
ASSLING,44,85617,12.005281,47.992086,513.77
ATTENHOFEN,13,84091,11.846593,48.649208,444.72
ATTENKIRCHEN,13,85395,11.758765,48.506366,461.71
ATTENWEILER,16,88448,9.698617,48.136819,554.31
ATTING,10,94348,12.4873,48.895756,408.59
ATZELGIFT,1,57629,7.824783,50.696325,435.77
AU,11,79280,7.828914,47.955421,644.44
AU AM RHEIN,30,76474,8.236454,48.951487,538.62
AUDERATH,1,56766,7.002278,50.186485,515.1
AUENGRUND,21,98673,10.886191,50.451843,288.91
AUERBACH,16,09392,12.914707,50.685786,206.98
AUERBACH/VOGTL.,144,08209,12.402307,50.508726,234.42
AUERBACH1,13,94530,13.099653,48.803407,414.29
AUETAL,78,31749,9.232853,52.234338,285.26
AUFHAUSEN,1,93089,12.280959,48.872913,413.64
AUFSESS,13,91347,11.228675,49.8843,330.31
AUGGEN,15,79424,7.596879,47.787301,669.76
AUGSBURG,1680,86150,10.892578,48.369696,495.07
AUGUSTDORF,76,32832,8.74464,51.909123,324.99
AUGUSTUSBURG,57,09573,13.10168,50.810614,191.44
AUHAGEN,10,31553,9.294945,52.398326,279.07
AUHAUSEN,4,86736,10.621298,49.00813,437.24
AURA A.D.SAALE,3,97717,10.00738,50.164483,352.88
AURA I.SINNGRUND,7,97773,9.574579,50.174553,372.86
AURACH,27,91589,10.412619,49.244603,420.76
AURACHTAL,29,91086,10.822529,49.575073,374.29
AUSLEBEN,7,39393,11.114198,52.089985,163.1
AUSSERNZELL,10,94532,13.204294,48.724086,422.8
AUW BEI PRUEM,2,54597,6.338534,50.300214,549.04
AXSTEDT,9,27729,8.77323,53.35533,324.29
AYING,48,85653,11.776564,47.970877,519.47
AYL,6,54441,6.554472,49.630723,576.7
AYSTETTEN,22,86482,10.775351,48.404945,494.45
BAAR,1,56729,7.048848,50.353598,502.45
BAAR EBENHAUSEN,58,85107,11.471405,48.671064,449.68
BABENSHAM,12,83547,12.264331,48.083672,500.45
BACH A.D.DONAU,4,93090,12.303994,49.020714,397.16
BACHHAGEL,20,89429,10.321505,48.632815,484.41
BAD ALEXANDERSBAD,1,95680,12.015655,50.015409,295.11
BAD BELLINGEN,40,79415,7.556809,47.731696,676.53
BAD BERKA,71,99438,11.283174,50.899497,232.28
BAD BERTRICH,5,56864,7.034605,50.070698,520.27
BAD BIBRA,14,06647,11.585379,51.208095,192.27
BAD BLANKENBURG,47,07422,11.261585,50.68475,252.37
BAD BRAMBACH,9,08648,12.312457,50.223255,266.7
BAD COLBERG HELDBURG,10,98663,10.725542,50.28002,311.09
BAD DOBERAN,73,18209,11.89935,54.106684,203.03
BAD DUEBEN,62,04849,12.584581,51.59479,117.31
BAD DUERRENBERG,104,06231,12.069945,51.299231,163.92
BAD EILSEN,8,31707,9.105939,52.2407,293.73
BAD ELSTER,32,08645,12.238262,50.282643,261.9
BAD EMSTAL,63,34308,9.260599,51.243864,318.18
BAD ENDBACH,88,35080,8.495525,50.753161,391.97
BAD ESSEN,144,49152,8.343951,52.319617,344.25
BAD FEILNBACH,65,83075,12.008173,47.773292,537.69
BAD FUESSING,64,94072,13.310922,48.351663,464.07
BAD HEILBRUNN,31,83670,11.462626,47.746023,549.16
BAD KARLSHAFEN,28,34385,9.453624,51.643844,287.32
BAD KLEINEN,21,23996,11.47265,53.770508,189.78
BAD KLOSTERLAUSNITZ,30,07639,11.867215,50.916378,207.63
BAD KOESTRITZ,25,07586,12.010908,50.930222,201.39
BAD KOHLGRUB,8,82433,11.051047,47.66653,565.75
BAD KROZINGEN,129,79189,7.699564,47.915677,653.69
BAD LAER,98,49196,8.08725,52.100739,364.83
BAD LAUSICK,71,04651,12.640283,51.144619,161.89
BAD LIEBENSTEIN,52,36448,10.349155,50.815769,283.69
BAD LIEBENWERDA,103,04924,13.394139,51.515956,111.77
BAD MUSKAU,24,02953,14.721746,51.545194,141.09
BAD NENNDORF,71,31542,9.374996,52.339433,274.24
BAD PETERSTAL GRIESBACH,14,77740,8.205832,48.428963,585.41
BAD RIPPOLDSAU SCHAPBACH,15,77776,8.291422,48.378284,586.17
BAD ROTHENFELDE,89,49214,8.160784,52.108934,359.72
BAD SALZSCHLIRF,7,36364,9.509294,50.623014,342.33
BAD SALZUNGEN,139,36433,10.231992,50.811679,290.06
BAD SASSENDORF,95,59505,8.164329,51.585642,373.42
BAD SAULGAU,146,88348,9.499183,48.013864,573.27
BAD SCHANDAU,22,01814,14.154659,50.917397,185.74
BAD SCHLEMA,54,08301,12.682933,50.61039,218.37
BAD SCHMIEDEBERG,61,06905,12.732596,51.683995,103.8
BAD STAFFELSTEIN,96,96231,10.999853,50.10147,316.97
BAD SUELZE,6,18334,12.65907,54.109956,183.81
BAD SULZA,21,99518,11.623832,51.087021,201.18
BAD TENNSTEDT,14,99955,10.838775,51.153642,232.98
BAD WIESSEE,44,83707,11.725573,47.712577,548.38
BAD WILSNACK,14,19336,11.948256,52.954958,109.47
BAD ZWESTEN,38,34596,9.175326,51.052069,333.89
BAD ZWISCHENAHN,214,26160,8.008329,53.180788,370.08
BADBERGEN,43,49635,7.981071,52.633175,367.05
BADDECKENSTEDT,25,38271,10.231504,52.083951,221.39
BADEM,9,54657,6.607855,50.004334,549.77
BADEN BADEN,420,76530,8.239951,48.761794,554.68
BADENWEILER,35,79410,7.672437,47.801626,665.16
BAECHINGEN A.D.BRENZ,13,89431,10.312137,48.546161,493.43
BAERENSTEIN,15,09471,13.028733,50.499583,226.42
BAHRDORF,4,38459,11.004207,52.387587,163.52
BAHRENBORSTEL,8,27245,8.815121,52.57221,310.71
BAHRETAL,11,01819,13.907963,50.880306,185.8
BAIENFURT,71,88255,9.651432,47.826982,586.78
BAIERBRUNN,4,82065,11.486944,48.019582,519.19
BAIERN,16,85625,11.898056,47.957257,519.1
BAIERSBRONN,108,72270,8.371955,48.505528,571.24
BAINDT,43,88255,9.661164,47.84186,584.98
BAISWEIL,7,87650,10.541831,47.943787,548.59
BAKUM,71,49456,8.19402,52.742467,352.87
BALGE,13,31609,9.184785,52.718245,286.02
BALGHEIM,15,78582,8.763938,48.066254,595.33
BALGSTAEDT,7,06632,11.732025,51.204907,186.16
BALJE,12,21730,9.133598,53.831509,320.13
BALLENSTEDT,62,06493,11.237514,51.72028,172.83
BALLHAUSEN,4,99955,10.886828,51.155085,230.38
BALLRECHTEN DOTTINGEN,8,79282,7.691108,47.85776,659.27
BALLSTAEDT,1,99869,10.716582,51.034043,248.26
BALTMANNSWEILER,48,73666,9.448403,48.742625,504.67
BALZHAUSEN,10,86483,10.493311,48.242055,519.03
BALZHEIM,19,88481,10.076078,48.180798,537.67
BAMBERG,569,96047,10.886786,49.893387,341.03
BAMMENTAL,69,69245,8.77808,49.357303,478.66
BANN,9,66851,7.611963,49.390185,534.88
BANNEWITZ,71,01728,13.722393,50.993964,171.28
BANZKOW,14,19079,11.516606,53.523683,168.72
BARBELROTH,1,76889,8.07179,49.101569,534.09
BARBING,33,93092,12.197586,49.003328,400.58
BARENDORF,15,21397,10.521495,53.228804,209.17
BARGSTEDT,17,21698,9.448787,53.460043,284.96
BARGSTEDT1,15,24793,9.769024,54.162433,302.96
BARLEBEN,89,39179,11.620091,52.199761,126.46
BARNEKOW,1,23968,11.372593,53.867101,202.12
BARNSTAEDT,10,06268,11.643646,51.344942,178.11
BARNSTEDT,2,21406,10.372485,53.135816,215.16
BARSSEL,89,26676,7.745157,53.168704,387.22
BARTH,58,18356,12.72658,54.36871,210.65
BARTHOLOMAE,10,73566,9.987345,48.752118,483.76
BARUM,15,21357,10.408796,53.351294,221.28
BARUM1,6,29576,10.516724,53.052039,203.25
BARUTH/MARK,49,15837,13.504113,52.049327,52.83
BARVER,16,49453,8.593598,52.620672,325.66
BARWEDEL,6,38476,10.777346,52.522997,177.97
BASDAHL,11,27432,8.997025,53.443117,312.73
BASEDOW,2,17139,12.68118,53.696842,139.65
BASEDOW1,1,21483,10.583592,53.416151,213.83
BASSENHEIM,22,56220,7.457078,50.358978,477.5
BASTHEIM,7,97654,10.202195,50.401071,323.95
BASTORF,4,18230,11.697671,54.125959,211.76
BATTWEILER,3,66484,7.461753,49.277614,551.39
BAUNATAL,215,34225,9.415659,51.254184,308.14
BAUSENDORF,9,54538,6.99676,50.013688,526.08
BAUTZEN,251,02625,14.427688,51.180868,164.82
BAWINKEL,12,49844,7.411492,52.600378,405.58
BAYERBACH,10,94137,13.143962,48.410085,457.89
BAYERISCH EISENSTEIN,5,94252,13.202433,49.122223,378.51
BAYERISCH GMAIN,10,83457,12.892608,47.720923,535.48
BAYREUTH,520,95444,11.571349,49.945574,313.77
BAYRISCHZELL,13,83735,12.013715,47.673874,548.51
BECHHOFEN,12,66894,7.40316,49.351317,548.95
BECHTHEIM,11,67595,8.293205,49.727031,473.32
BECHTOLSHEIM,12,55234,8.194786,49.804318,472.75
BECHTSRIETH,8,92699,12.211688,49.64646,330.57
BECKDORF,22,21643,9.610546,53.413131,273.09
BECKEDORF,11,31699,9.313716,52.342837,278.35
BEDESBACH,3,66885,7.459448,49.567802,529.95
BEEDENBOSTEL,5,29355,10.257174,52.644316,213.35
BEELEN,62,48361,8.118191,51.930124,366.35
BEELITZ,117,14547,12.977691,52.232322,43.23
BEENDORF,2,39343,11.085883,52.242316,160.58
BEESKOW,77,15848,14.24693,52.172338,69.11
BEESTEN,9,49832,7.497701,52.43596,400.51
BEETZENDORF,30,38489,11.089028,52.7,157.82
BEETZSEE,14,14778,12.537066,52.461693,59.18
BEHREN LUEBCHIN,6,17179,12.664874,54.02899,175.05
BEHRENHOFF,2,17498,13.391812,54.005771,165.4
BEIERSDORF,13,02736,14.541944,51.075898,178.8
BEILRODE,51,04886,13.067067,51.569501,108.31
BEIMERSTETTEN,19,89179,9.98581,48.481886,510.43
BEINDERSHEIM,19,67259,8.319653,49.561101,484.75
BEKOND,3,54340,6.800506,49.850106,548.03
BELGERSHAIN,27,04683,12.549364,51.23412,154.75
BELL,14,56745,7.232896,50.387486,489.32
BELLENBERG,47,89287,10.093865,48.25525,529.59
BELLHEIM,86,76756,8.284042,49.190542,516.35
BELM,112,49191,8.140643,52.302111,358.21
BELTHEIM,12,56290,7.461682,50.105877,492.95
BELUM,2,21785,8.994205,53.816223,327.73
BEMPFLINGEN,24,72658,9.26546,48.573217,527.8
BENDORF,61,25557,9.382283,54.087214,319.37
BENDORF1,92,56170,7.575608,50.423567,466.54
BENEDIKTBEUERN,25,83671,11.411896,47.707913,554.19
BENGEL,3,54538,7.064797,50.016289,521.91
BENNDORF,7,06308,11.493238,51.571126,168.18
BENNEWITZ,53,04828,12.710898,51.360574,137.57
BENNINGEN,10,87734,10.211963,47.967567,555.28
BENSDORF,12,14789,12.343381,52.420493,72.83
BENSHAUSEN,12,98554,10.59169,50.641673,285.6
BENTWISCH,14,18182,12.203506,54.113684,194.56
BENTZIN,1,17129,13.272797,53.945787,158.96
BENZ,8,17429,14.07031,53.940693,164.25
BENZ1,12,23970,11.584457,53.911201,196.74
BERG,11,53505,6.948888,50.556546,497.35
BERG (PFALZ),22,76768,8.205367,48.982445,537.49
BERG1,12,56357,7.814358,50.253667,462.93
BERG2,6,82335,11.356187,47.966594,527.39
BERG3,13,88276,9.595867,47.816128,589.68
BERG4,15,95180,11.779046,50.374512,264.12
BERGA,9,06536,11.007196,51.456642,202.54
BERGATREUTE,23,88368,9.748012,47.849665,581.4
BERGE,1,19348,11.873277,53.239045,130.36
BERGE1,2,49626,7.747579,52.621017,382.84
BERGEN,10,08239,12.276051,50.470932,241.14
BERGEN1,4,29303,9.962303,52.809523,234.62
BERGEN2,10,55608,7.418004,49.78091,517.17
BERGEN3,7,83346,12.590133,47.80697,527.85
BERGEN4,5,91790,11.114011,49.073591,416.09
BERGFELD,1,38467,10.845843,52.546012,173.31
BERGHAUPTEN,22,77791,7.987138,48.407309,597.15
BERGHEIM,12,50126,6.640252,50.955113,497.57
BERGHEIM1,8,86673,11.256281,48.761568,444.98
BERGHUELEN,17,89180,9.761209,48.464015,519.89
BERGKIRCHEN,81,85232,11.366061,48.259031,495.86
BERGLERN,18,85459,11.929916,48.383368,472.18
BERGRHEINFELD,54,97493,10.180496,50.006556,358.72
BERGTHEIM,38,97241,10.067369,49.898712,373.18
BERGWEILER,6,54518,6.82427,49.965864,539.27
BERKA/WERRA,45,99837,10.068487,50.939304,289.58
BERKATAL,9,37297,9.921125,51.236421,278.77
BERKENBRUECK,6,15518,14.148048,52.352247,53.78
BERKHEIM,19,88450,10.08179,48.043327,551.42
BERKHOLZ MEYENBURG,14,16306,14.211613,53.057677,80.82
BERLINGERODE,9,37339,10.238458,51.458578,247.11
BERLSTEDT,7,99439,11.244403,51.062362,220.12
BERMATINGEN,39,88697,9.348092,47.731114,606.42
BERNAU A.CHIEMSEE,47,83233,12.374087,47.811654,529.25
BERNBEUREN,10,86975,10.77807,47.737853,564.29
BERNBURG (SAALE),212,06406,11.737192,51.794389,139.63
BERNE,63,27804,8.477527,53.184901,339.33
BERNGAU,11,92361,11.397662,49.25171,390.14
BERNHARDSWALD,47,93170,12.248516,49.090476,390.33
BERNITT,5,18246,11.890659,53.9023,184.03
BERNRIED,13,94505,12.882786,48.917177,402.75
BERNSDORF,61,02994,14.0695,51.376325,135.23
BERNSDORF1,81,09337,12.663915,50.768683,201.56
BERNSTADT,16,89182,10.023964,48.500014,507.36
BERNSTADT A. D. EIGEN,28,02748,14.826935,51.047102,190.97
BERTSDORF HOERNITZ,7,02763,14.722028,50.880546,203.87
BERUMBUR,18,26524,7.308371,53.599722,425.05
BESELICH,62,65614,8.122274,50.456832,432.08
BESSENBACH,58,63856,9.246066,49.961041,406.27
BESTWIG,85,59909,8.398158,51.36108,366.92
BETTENFELD,1,54533,6.759889,50.085477,535.73
BETTINGEN,6,54646,6.398135,49.940984,566.19
BETZENDORF,8,21386,10.311162,53.137255,219.12
BETZIGAU,16,87488,10.378456,47.735561,574.6
BEURON,2,88631,8.970068,48.050828,588.83
BIBERACH,35,77781,8.028167,48.338696,601.35
BIBURG,10,93354,11.852586,48.790495,429.35
BICHL,10,83673,11.412308,47.720533,552.82
BIDINGEN,4,87651,10.726827,47.829747,555.83
BIEBELNHEIM,1,55234,8.170386,49.796214,474.66
BIEBELRIED,14,97318,10.08231,49.764669,384.53
BIEBELSHEIM,1,55546,7.938844,49.87331,481.65
BIEBEREHREN,8,97243,10.008247,49.514836,410.38
BIEBERGEMUEND,78,63599,9.276363,50.20755,385.39
BIEBERTAL,117,35444,8.597507,50.619052,394.12
BIEDERBACH,9,79215,8.034739,48.193856,613.97
BIEDERITZ,77,39175,11.716439,52.159249,121.66
BIELEFELD,2232,33602,8.53212,52.020578,336.5
BIENDORF,5,18233,11.700348,54.074807,206.91
BIENENBUETTEL,66,29553,10.491733,53.141716,207.78
BIENSTAEDT,2,99100,10.847944,51.016531,242.95
BIESSENHOFEN,39,87640,10.639856,47.833183,557.63
BIETIGHEIM,51,76467,8.246052,48.91379,541.36
BILLIGHEIM,57,74842,9.254676,49.347877,457.52
BILLIGHEIM INGENHEIM,55,76872,8.097229,49.137881,529.86
BINAU,7,74862,9.057115,49.365419,464.94
BINDLACH,77,95463,11.611595,49.980901,309.02
BINGEN,23,72511,9.272341,48.110738,571.81
BINNEN,11,31619,9.135239,52.618382,289.06
BINNINGEN,1,56754,7.244584,50.204897,499.51
BINSFELD,2,54518,6.706661,49.964485,546.33
BINSWANGEN,6,86637,10.640403,48.557831,482.4
BINZEN,17,79589,7.627773,47.631528,682.53
BIPPEN,22,49626,7.740175,52.582613,383.4
BIRGLAND,9,92262,11.616384,49.438224,365.22
BIRKEN HONIGSESSEN,20,57587,7.739895,50.818171,434.42
BIRKENFELD,82,55765,7.168182,49.650147,540.3
BIRKENFELD1,77,75217,8.636435,48.870121,527.16
BIRKENFELD2,85,97834,9.694672,49.858627,393.32
BIRKENHEIDE,29,67134,8.258775,49.479592,494.27
BIRKENWERDER,80,16547,13.282792,52.688528,20.5
BIRKWEILER,1,76831,8.038079,49.204087,527.42
BIRLENBACH,6,65626,8.004067,50.357272,445.26
BIRRESBORN,9,54574,6.625574,50.175582,538.48
BIRSTEIN,59,63633,9.310105,50.35353,372.6
BISCHBERG,79,96120,10.831656,49.909767,341.46
BISCHBRUNN,7,97836,9.492085,49.868565,401.92
BISCHOFFEN,37,35649,8.448298,50.705583,397.61
BISCHOFSGRUEN,17,95493,11.798834,50.051153,296.69
BISCHOFSMAIS,27,94253,13.081593,48.918187,401.6
BISCHOFSWERDA,79,01877,14.179644,51.127691,163.9
BISCHOFSWIESEN,59,83483,12.970308,47.647463,543.29
BISCHWEIER,30,76476,8.28315,48.838747,546.04
BISINGEN,99,72406,8.917087,48.310155,566.3
BISMARK (ALTMARK),73,39629,11.555013,52.661431,126.09
BISPINGEN,63,29646,9.996078,53.082077,237.78
BISSENDORF,143,49143,8.16853,52.235466,357.17
BISSINGEN AN DER TECK,27,73266,9.491179,48.599972,516.57
BITTERFELD WOLFEN,290,06766,12.324812,51.625226,124.03
BITZ,36,72475,9.092414,48.244285,565.69
BITZEN,1,57539,7.691525,50.793933,438.69
BLAIBACH,6,93476,12.808097,49.166622,375.64
BLAICHACH,49,87544,10.257416,47.542493,597.92
BLANKENBACH,16,63825,9.232669,50.063453,398.81
BLANKENBERG,8,07366,11.716119,50.404971,262.95
